locationName,link,thumbnail,location,category,reviewContent,reviewDate,rating
KFC,https://www.yelp.com/biz/kfc-sparks,https://s3-media3.fl.yelpcdn.com/bphoto/4QxOqCCR4BSutRqJRimbZA/90s.jpg,"275 N Mccarran StSparks, NV 89431","Fast Food,
                    Chicken Wings,
                    Chicken Shop","Good service, good food. The $5 meals are a decent deal, but other than that I couldn't find cheap items to chase the meal. I got a chicken little for  $1.79. Rip off.",9/1/2017,4.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-modesto-12,https://s3-media2.fl.yelpcdn.com/bphoto/T9fmt_bENGQGRAXljqlEWw/90s.jpg,"3601 Yosemite AvenueModesto, CA 95357","Mexican,
                    Tex-Mex,
                    Fast Food","Meal deals are 20 cents too much at $3.19, but cravings deal is priced right at  $4.99. Potatoritos were good, but about as girthy as a roll of quarters. Ridiculous. Food was good and quick.",8/29/2017,3.0 star rating
Country Pride,https://www.yelp.com/biz/country-pride-ontario,https://s3-media3.fl.yelpcdn.com/bphoto/yKRTtjVHJidb62O19pse0A/90s.jpg,"4265 E Guasti RdOntario, CA 91761","Breakfast & Brunch,
                    Burgers,
                    American (Traditional)","I had the breakfast buffet on a Sunday. $10.49 with water. Price isn't great for cheap breakfast food, but pretty typical for truck stops. Food was good and service was good.",8/27/2017,4.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-bishop,https://s3-media1.fl.yelpcdn.com/bphoto/886dWX5JszM2VdR9ur426w/90s.jpg,"926 N Main StreetBishop, CA 93514","Fast Food,
                    Mexican,
                    Tex-Mex","Meal deals are $3.99. Rip off. I looked for a cravings deal as a plan B, but they don't have that. Potatoritos were priced right at least at $1. Food was good and quick.",8/27/2017,3.0 star rating
Wendy’s,https://www.yelp.com/biz/wendys-beaver-3,https://s3-media1.fl.yelpcdn.com/bphoto/XoXrj9SJYvl3yUHViOgXLQ/90s.jpg,"625 W 1400th NBeaver, UT 84713","Burgers,
                    Fast Food",I couldn't find a cheaper burger than the Jr cheeseburger for $1.29. It's so small that it's only worth $1. They were very fast though.,8/22/2017,3.0 star rating
Carl’s Jr.,https://www.yelp.com/biz/carls-jr-rocklin-3,https://s3-media1.fl.yelpcdn.com/bphoto/RXsi476X0NmumuxhVpSQ-w/90s.jpg,"6608 LoneTree BlvdRocklin, CA 95765","Fast Food,
                    Burgers",California classic combo is overpriced at $5.99. Big hamburger is about $2. I got the halipeno burger since it's the only good deal. Food was good.,8/14/2017,3.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-wells,https://s3-media3.fl.yelpcdn.com/bphoto/F8aUuYleroDZPJSYgh35iA/90s.jpg,"1237 Hwy 93 NWells, NV 89835","Burgers,
                    Fast Food",$3.49 2 cheeseburger meal and 10 piece for  $1.49. Good deals. Food was good and quick. Lobby was a bit messy.,8/13/2017,4.0 star rating
Costa Vida Fresh Mexican Grill,https://www.yelp.com/biz/costa-vida-fresh-mexican-grill-evanston,https://s3-media1.fl.yelpcdn.com/bphoto/xL81kn7NyN_cXVMdic_f0g/90s.jpg,"96 N 2nd StEvanston, WY 82930",Mexican,"Food was great, prices are just a tad high. Daily specials are $7.99 for a burrito and drink.",8/13/2017,4.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-ogden-3,https://s3-media4.fl.yelpcdn.com/bphoto/UiiTZZ5mArVk-iJTmP9nBw/90s.jpg,"365 East 12th StreetOgden, UT 84404","Mexican,
                    Tex-Mex,
                    Fast Food",Meal deals are slightly overpriced at  $3.29. The box deal is also overpriced at  $5.99. The food was good and service was fast.,7/23/2017,3.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-lake-point,https://s3-media4.fl.yelpcdn.com/bphoto/hBFTH0Frb29Ed-5gRMIpNA/90s.jpg,"8836 N Hwy 40Lake Point, UT 84074","Burgers,
                    Fast Food","Don't come looking for a good deal, there aren't any. They don't have the  $3.49 2 cheeseburger meal like most other locations. I couldn't see the hot dog on the menu that other locations have for less than a dollar. I ended up getting the double whopper meal for  $8.49. That's almost enough for a buffet. Lol. The food was good and quick though.",7/18/2017,3.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-kingman-3,https://s3-media4.fl.yelpcdn.com/bphoto/1Dzaptn8TimLdSUzH7_lAQ/90s.jpg,"3350 E Andy DevineKingman, AZ 86401","Fast Food,
                    Mexican,
                    Tex-Mex","Meal deals are slightly overpriced at  $3.19. $1 menu items are $1, unlike some locations. The food was good.","7/11/2017
            
                
    
        
    

                Updated review,4/8/2017
            
                Previous review",4.0 star rating
Hometown Pizza,https://www.yelp.com/biz/hometown-pizza-ely,https://s3-media1.fl.yelpcdn.com/bphoto/sz_tlQwxsh4-9Q1QssMHoA/90s.jpg,"2060 Aultman StEly, NV 89301",Pizza,"$8.99 lunch buffet including drink from 11-2 pm. Not the greatest price for a pizza buffet, but not bad. The pizza is good and they put out the the right amount, so it's always fresh.",7/10/2017,4.0 star rating
Little Caesars Pizza,https://www.yelp.com/biz/little-caesars-pizza-lathrop,https://s3-media3.fl.yelpcdn.com/bphoto/swHhh7UxgCKcmEbRc3siTw/90s.jpg,"15344 S Harlan RdLathrop, CA 95330",Pizza,"The pizza isn't bad, but it's only worth $5, not the $7 they charge.  It was hot and ready. They don't take American express.",7/5/2017,2.0 star rating
Spotlight 29 Casino,https://www.yelp.com/biz/spotlight-29-casino-coachella,https://s3-media2.fl.yelpcdn.com/bphoto/cxlHEoS5J7CziEacfNC6GQ/90s.jpg,"46-200 Harrison PlCoachella, CA 92236","Casinos,
                    Music Venues","$10.99 for lunch buffet. Drinks included. Not bad, but not the best deal. I wasn't really impressed with the desserts, but the food was good.",7/3/2017,4.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-nephi,https://s3-media1.fl.yelpcdn.com/bphoto/y5cZHorNm6dEWMODlNBPUA/90s.jpg,"1998 S Main StNephi, UT 84648","Burgers,
                    Fast Food",$3.49 deal and 10 piece for $1.49 available here. Fast service and food was ok. Burgers tasted a little old. Extra dry bread.,6/30/2017,4.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-north-las-vegas,https://s3-media1.fl.yelpcdn.com/bphoto/LnX327BqLjoD7omStZQ0Ig/90s.jpg,"3831 E Craig RdNorth Las Vegas, NV 89030","Fast Food,
                    Burgers","Nuggets weren't great and the fries weren't either. Wait time was longer than usual. The 2 cheeseburger deal is a little more than before at $3.49, still a good value. 10 piece  $1.49 as usual.",6/25/2017,4.0 star rating
